Day,Date,City,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
15,2010-01-16,Setif,21.8,36.6,0.0,,,W,46.0,N,W,22.0,30.0,50.0,11.0,1009.6,1004.1,,,27.7,36.0,No,No
16,2010-01-17,Batna,16.8,25.6,0.0,,,WNW,57.0,W,W,20.0,35.0,51.0,24.0,1006.9,1005.5,4.0,1.0,18.0,24.1,No,No
17,2010-01-18,Blida,10.5,22.6,0.0,,,SW,52.0,W,WSW,22.0,30.0,44.0,30.0,1007.7,1007.0,2.0,8.0,14.4,20.5,No,No
18,2010-01-19,Batna,8.7,25.2,0.0,,,W,50.0,W,WSW,6.0,30.0,47.0,27.0,1011.5,1009.7,,,15.0,23.8,No,No
19,2010-01-20,Setif,11.0,32.9,0.0,,,W,48.0,SSE,WNW,2.0,19.0,52.0,15.0,1011.8,1008.8,,,18.5,30.7,No,No
20,2010-01-21,Sidi Bel Abbes,15.4,37.3,0.0,,,W,56.0,SE,WNW,2.0,22.0,39.0,18.0,1010.7,1008.1,,,22.4,34.3,No,No
21,2010-01-22,Skikda,19.2,41.8,0.0,,,NNW,69.0,SE,NNW,7.0,31.0,40.0,9.0,1008.8,1003.7,,,26.0,39.1,No,No
22,2010-01-23,Batna,24.7,35.4,0.0,,,WSW,43.0,WNW,W,20.0,19.0,43.0,9.0,1006.7,1006.5,,,25.0,34.6,No,No
23,2010-01-24,Algiers,14.4,33.7,0.0,,,SSW,28.0,SSE,WNW,6.0,15.0,50.0,22.0,1013.2,1009.7,,,21.5,31.7,No,No
24,2010-01-25,Bejaia,14.3,35.8,0.0,,,WNW,35.0,E,WSW,6.0,17.0,47.0,8.0,1011.4,1008.1,,,22.8,34.7,No,No
25,2010-01-26,Oran,15.1,35.9,0.0,,,WSW,39.0,,WSW,0.0,17.0,35.0,10.0,1010.0,1008.5,,,22.9,34.4,No,No
26,2010-01-27,Constantine,17.7,36.4,0.0,,,W,43.0,S,WSW,7.0,15.0,45.0,14.0,1011.4,1007.9,,,24.2,35.3,No,No
27,2010-01-28,Constantine,15.2,34.4,0.0,,,NW,35.0,SE,WNW,2.0,22.0,51.0,8.0,1008.5,1005.2,,,23.1,34.1,No,No
28,2010-01-29,Blida,16.0,35.2,0.0,,,SSE,35.0,SE,NNE,2.0,7.0,46.0,14.0,1009.0,1007.7,,,23.1,33.9,No,No
29,2010-01-30,Batna,18.9,36.5,0.0,,,NE,46.0,SSE,NW,15.0,9.0,48.0,22.0,1015.3,1012.0,,,23.5,34.8,No,No
30,2010-01-31,Setif,21.7,36.3,0.0,,,NE,44.0,ENE,E,22.0,15.0,39.0,16.0,1014.2,1009.7,,,26.6,34.7,No,No
31,2010-02-01,Setif,21.0,38.2,0.0,,,E,67.0,S,SSE,4.0,15.0,46.0,19.0,1014.0,1009.9,,,25.2,36.9,No,Yes
32,2010-02-02,Skikda,17.8,34.3,8.6,,,ENE,39.0,SSE,NE,7.0,9.0,61.0,24.0,1016.1,1011.7,,,22.9,32.5,Yes,No
33,2010-02-03,Annaba,17.9,35.6,0.0,,,E,57.0,SSE,ESE,15.0,17.0,36.0,23.0,1014.0,1008.5,,3.0,24.3,34.6,No,No
34,2010-02-04,Bejaia,23.5,32.0,0.0,,,NNW,44.0,ENE,,19.0,,51.0,44.0,1010.8,1006.2,4.0,,26.3,31.1,No,Yes
35,2010-02-05,Blida,19.2,26.1,52.2,,,SE,33.0,S,SSW,9.0,13.0,83.0,70.0,1009.9,1009.4,4.0,8.0,22.1,25.0,Yes,Yes
36,2010-02-06,Constantine,19.5,30.3,5.6,,,SE,43.0,SE,SE,20.0,22.0,55.0,38.0,1016.4,1015.7,,,22.6,30.1,Yes,No
37,2010-02-07,Skikda,20.3,33.9,0.0,,,SE,37.0,SE,E,19.0,6.0,53.0,32.0,1020.8,1017.5,,,23.2,32.6,No,No
38,2010-02-08,Batna,23.0,34.0,0.0,,,NNW,37.0,ESE,ESE,7.0,11.0,66.0,32.0,1020.8,1017.8,7.0,7.0,25.9,33.8,No,No
39,2010-02-09,Batna,22.1,35.1,0.0,,,,,ENE,SW,6.0,11.0,58.0,37.0,1020.9,1017.8,,1.0,26.9,33.5,No,No
40,2010-02-11,Annaba,21.5,35.0,0.0,,,,,SSE,E,9.0,7.0,76.0,35.0,1015.8,1010.3,,8.0,24.2,33.1,No,No
41,2010-02-13,Algiers,20.8,27.1,0.0,,,NE,24.0,E,NE,9.0,11.0,82.0,59.0,1009.9,1007.9,8.0,1.0,21.2,26.6,No,No
42,2010-02-14,Blida,20.5,30.3,0.0,,,SE,41.0,SSE,SE,7.0,20.0,80.0,43.0,1006.8,1003.9,8.0,8.0,21.7,28.9,No,No
43,2010-02-15,Setif,17.8,26.8,0.0,,,ESE,52.0,SSW,SE,7.0,28.0,76.0,44.0,1008.6,1008.8,8.0,,19.7,26.2,No,No
44,2010-02-16,Algiers,17.6,29.0,0.0,,,SE,31.0,SSE,E,19.0,13.0,48.0,34.0,1014.7,1013.3,,,20.6,27.2,No,No
45,2010-02-17,Bejaia,15.5,30.6,0.0,,,,,SE,SSW,6.0,11.0,66.0,30.0,1015.9,1013.8,,,19.4,30.0,No,No
46,2010-02-19,Annaba,16.4,30.3,0.0,,,NNE,26.0,E,WNW,9.0,9.0,54.0,34.0,1023.6,1019.6,,,20.8,29.2,No,No
47,2010-02-20,Skikda,15.7,31.8,0.0,,,NW,57.0,SE,N,7.0,19.0,70.0,35.0,1018.9,1014.3,1.0,2.0,19.6,30.9,No,No
48,2010-02-21,Setif,19.6,34.7,0.6,,,SSW,59.0,SE,SE,6.0,24.0,71.0,59.0,1015.3,1011.2,3.0,8.0,23.8,27.3,No,Yes
49,2010-02-22,Setif,20.2,26.4,3.6,,,E,46.0,ENE,NW,4.0,9.0,83.0,70.0,1014.6,1011.9,8.0,8.0,21.3,24.2,Yes,No
50,2010-02-23,Algiers,12.5,26.1,0.2,,,W,31.0,W,SSE,15.0,11.0,56.0,34.0,1017.3,1016.7,,,15.2,24.3,No,No
51,2010-02-24,Batna,12.8,28.5,0.0,,,SE,24.0,SE,SE,9.0,11.0,57.0,35.0,1020.3,1018.4,,,17.9,26.4,No,No
52,2010-02-25,Oran,15.0,31.0,0.0,,,NNW,22.0,ESE,ESE,2.0,7.0,61.0,33.0,1023.9,1021.3,,,19.5,29.3,No,No
53,2010-02-26,Skikda,17.2,,0.0,,,,,NE,E,13.0,9.0,54.0,28.0,1024.6,1020.7,,,20.6,29.2,No,No
54,2010-02-28,Sidi Bel Abbes,18.2,29.3,1.4,,,W,39.0,,W,0.0,20.0,84.0,45.0,1016.7,1013.6,8.0,,19.9,28.5,Yes,No
55,2010-03-01,Annaba,14.4,,0.0,,,,,SE,SSE,19.0,20.0,50.0,35.0,1018.5,1016.2,6.0,,17.1,25.5,No,No
56,2010-03-03,Setif,12.5,31.2,0.0,,,ENE,19.0,,ENE,0.0,4.0,61.0,26.0,1018.6,1014.2,,,17.8,28.9,No,No
57,2010-03-04,Blida,15.1,,0.0,,,,,SE,S,7.0,11.0,70.0,35.0,1014.2,1009.8,,,20.1,28.6,No,No
58,2010-03-05,Constantine,,22.3,0.0,,,NE,37.0,NE,NE,24.0,17.0,74.0,93.0,1008.8,1006.6,8.0,8.0,20.9,20.1,No,Yes
59,2010-03-06,Batna,18.8,30.3,20.6,,,WSW,39.0,W,N,9.0,7.0,87.0,48.0,1010.0,1009.0,8.0,1.0,22.3,29.4,Yes,Yes
60,2010-03-07,Sidi Bel Abbes,18.3,22.9,5.8,,,SE,39.0,NW,E,15.0,13.0,89.0,82.0,1013.3,1008.8,8.0,7.0,19.0,21.1,Yes,Yes
61,2010-03-08,Skikda,18.1,25.5,66.0,,,NW,56.0,N,NNW,11.0,37.0,79.0,38.0,1008.7,1007.5,,1.0,19.8,24.1,Yes,Yes
62,2010-03-09,Setif,15.7,22.4,6.2,,,NW,46.0,WNW,WNW,20.0,17.0,90.0,67.0,1014.4,1015.9,8.0,8.0,16.3,19.0,Yes,No
63,2010-03-10,Batna,8.8,,0.0,,,,,SSE,SSE,9.0,11.0,69.0,35.0,1023.7,1023.0,,1.0,12.5,21.8,No,No
64,2010-03-12,Skikda,10.6,25.0,0.0,,,NNE,20.0,S,W,4.0,4.0,72.0,40.0,1036.3,1033.6,,,14.2,24.1,No,No
65,2010-03-13,Bejaia,11.5,25.7,0.0,,,SE,24.0,,E,0.0,9.0,80.0,44.0,1035.2,1031.4,,,15.0,23.9,No,No
66,2010-03-14,Blida,12.2,26.3,0.0,,,SE,24.0,SSE,SSE,6.0,7.0,75.0,37.0,1030.0,1026.0,,,15.6,24.8,No,No
67,2010-03-15,Constantine,13.2,26.6,0.0,,,E,22.0,,SSW,0.0,11.0,72.0,38.0,1025.5,1022.3,,1.0,16.2,26.0,No,No
68,2010-03-16,Blida,12.5,28.6,0.0,,,ENE,46.0,,SSW,0.0,4.0,73.0,28.0,1023.8,1021.0,,,16.1,28.1,No,No
69,2010-03-17,Annaba,13.3,29.6,0.0,,,SSW,19.0,N,W,2.0,4.0,76.0,35.0,1025.6,1023.3,,,17.6,29.5,No,No
70,2010-03-18,Sidi Bel Abbes,15.1,30.4,0.0,,,SSE,48.0,SE,W,2.0,9.0,73.0,36.0,1025.4,1022.2,,,18.9,29.7,No,No
71,2010-03-19,Oran,14.9,31.4,0.0,,,W,33.0,SSE,WNW,4.0,15.0,79.0,31.0,1020.4,1017.3,,1.0,17.7,30.0,No,No
72,2010-03-20,Bejaia,16.7,31.9,0.0,,,W,35.0,SSE,SW,6.0,19.0,77.0,36.0,1020.2,1017.9,8.0,,19.4,31.5,No,No
73,2010-03-21,Algiers,16.8,25.6,0.0,,,W,44.0,,WSW,0.0,24.0,78.0,46.0,1018.7,1017.7,2.0,,20.2,24.7,No,No
74,2010-03-22,Batna,9.1,25.3,0.0,,,WNW,30.0,SSE,WNW,6.0,13.0,69.0,36.0,1020.8,1018.8,,,13.0,24.1,No,No
75,2010-03-23,Oran,8.3,27.0,0.0,,,WNW,31.0,S,WNW,6.0,19.0,79.0,23.0,1021.2,1018.6,,,12.1,26.1,No,No
76,2010-03-24,Constantine,10.5,28.8,0.0,,,S,22.0,,W,0.0,6.0,81.0,31.0,1022.0,1019.5,,,13.3,26.9,No,No
77,2010-03-25,Algiers,11.6,29.6,0.0,,,NNW,24.0,E,NNW,4.0,6.0,75.0,32.0,1021.8,1018.0,,,15.4,28.9,No,No
78,2010-03-26,Annaba,12.6,30.0,0.0,,,WNW,24.0,,WNW,0.0,11.0,80.0,32.0,1019.2,1016.4,,,15.8,29.1,No,No
79,2010-03-27,Setif,15.6,30.2,0.0,,,E,20.0,,S,0.0,9.0,73.0,32.0,1019.8,1017.0,,,18.3,30.0,No,No
80,2010-03-28,Blida,17.2,28.7,0.0,,,W,39.0,ENE,N,4.0,13.0,79.0,41.0,1016.4,1011.8,,,19.4,28.3,No,Yes
81,2010-03-29,Blida,18.2,26.3,11.0,,,WNW,26.0,W,WNW,7.0,20.0,94.0,61.0,1015.8,1014.9,7.0,5.0,18.2,24.8,Yes,No
82,2010-03-30,Annaba,16.5,26.9,0.4,,,SSW,28.0,,WSW,0.0,11.0,91.0,44.0,1019.6,1017.6,,,17.5,26.0,No,No
83,2010-03-31,Annaba,13.4,26.1,0.0,,,SSE,28.0,SSE,NE,9.0,9.0,71.0,42.0,1021.2,1018.1,,1.0,16.5,25.1,No,No
84,2010-04-01,Bejaia,11.6,25.8,0.0,,,WNW,26.0,ESE,NW,2.0,9.0,82.0,44.0,1020.0,1017.4,,2.0,14.6,25.2,No,No
85,2010-04-02,Oran,10.0,25.1,0.0,,,SE,20.0,,S,0.0,6.0,78.0,42.0,1019.8,1017.4,,,15.3,24.4,No,No
86,2010-04-03,Sidi Bel Abbes,12.4,24.8,0.0,,,NE,26.0,,NE,0.0,11.0,71.0,41.0,1020.7,1018.4,,5.0,15.5,24.7,No,No
87,2010-04-04,Setif,12.5,24.8,0.0,,,SE,20.0,SE,N,13.0,7.0,58.0,37.0,1022.1,1018.2,7.0,,18.3,24.2,No,No
88,2010-04-05,Skikda,10.3,25.3,0.0,,,SE,17.0,SSE,ENE,2.0,9.0,76.0,38.0,1020.7,1016.3,1.0,,15.5,24.6,No,No
89,2010-04-06,Algiers,10.6,24.7,0.0,,,NE,33.0,,ENE,0.0,20.0,75.0,40.0,1017.9,1013.3,,,15.7,23.8,No,Yes
90,2010-04-07,Algiers,15.7,23.4,3.0,,,N,30.0,NNE,WNW,17.0,9.0,87.0,69.0,1012.8,1010.5,8.0,3.0,19.2,23.2,Yes,Yes
91,2010-04-08,Skikda,13.5,23.1,3.2,,,NW,46.0,WNW,WSW,13.0,20.0,84.0,53.0,1016.7,1015.3,1.0,1.0,17.5,23.0,Yes,No
92,2010-04-09,Constantine,10.1,21.9,0.0,,,E,22.0,SE,SSE,4.0,7.0,73.0,55.0,1016.1,1011.3,,2.0,15.7,21.2,No,No
93,2010-04-10,Algiers,14.1,18.6,0.2,,,WNW,22.0,NE,NE,6.0,11.0,84.0,79.0,1011.6,1009.0,8.0,8.0,16.7,18.3,No,Yes
94,2010-04-11,Annaba,14.2,18.7,7.0,,,WNW,57.0,NW,W,17.0,35.0,86.0,43.0,1010.1,1010.2,8.0,2.0,15.9,17.8,Yes,No
95,2010-04-12,Annaba,5.6,17.4,0.0,,,SW,41.0,W,SW,19.0,24.0,71.0,54.0,1018.1,1017.3,,8.0,11.0,16.0,No,No
96,2010-04-13,Batna,4.6,19.9,0.0,,,SW,19.0,SSW,W,4.0,11.0,82.0,49.0,1023.8,1021.1,,,10.1,19.5,No,No
97,2010-04-14,Sidi Bel Abbes,5.1,21.9,0.0,,,SSE,19.0,E,SSW,9.0,7.0,81.0,49.0,1023.6,1020.1,,,12.5,21.6,No,No
98,2010-04-15,Annaba,6.1,23.5,0.0,,,SE,17.0,,S,0.0,6.0,79.0,40.0,1022.6,1020.7,,,13.3,22.4,No,No
99,2010-04-16,Blida,7.7,24.7,0.0,,,SSE,19.0,S,SSE,6.0,11.0,79.0,45.0,1026.5,1023.0,,,13.6,24.1,No,No
100,2010-04-17,Algiers,8.5,25.4,0.0,,,ESE,17.0,ENE,SSE,7.0,11.0,74.0,38.0,1027.8,1024.4,,,15.8,25.0,No,No
101,2010-04-18,Setif,10.1,25.1,0.0,,,SSW,17.0,,S,0.0,9.0,67.0,47.0,1027.1,1023.2,4.0,,16.8,24.6,No,No
102,2010-04-19,Algiers,11.2,25.9,0.0,,,ESE,17.0,,SSE,0.0,9.0,81.0,46.0,1025.7,1021.9,2.0,3.0,14.6,25.6,No,No
103,2010-04-20,Constantine,11.8,25.2,0.0,,,ENE,26.0,SSE,E,2.0,13.0,79.0,49.0,1024.6,1020.1,1.0,1.0,16.4,24.3,No,No
104,2010-04-21,Bejaia,12.3,27.5,0.0,,,NW,20.0,ENE,SSW,6.0,7.0,74.0,44.0,1022.8,1019.5,,,18.5,26.4,No,No
105,2010-04-22,Skikda,11.4,27.3,0.0,,,WSW,17.0,,SSW,0.0,9.0,74.0,40.0,1023.6,1019.4,,,17.8,26.4,No,No
106,2010-04-23,Algiers,11.3,29.0,0.0,,,NNW,35.0,ESE,NNW,7.0,15.0,89.0,34.0,1020.5,1014.0,1.0,,15.4,27.9,No,Yes
107,2010-04-24,Algiers,15.4,19.8,3.6,,,NNW,46.0,NNE,NNW,11.0,28.0,95.0,86.0,1013.4,1008.7,8.0,8.0,17.1,18.6,Yes,Yes
108,2010-04-25,Setif,10.8,18.5,17.0,,,W,37.0,WSW,W,11.0,20.0,72.0,40.0,1016.2,1017.6,,,14.4,18.4,Yes,No
109,2010-04-26,Blida,5.1,17.9,0.0,,,SSE,15.0,E,S,4.0,9.0,78.0,49.0,1026.5,1023.0,,,10.4,16.9,No,No
110,2010-04-27,Constantine,7.1,16.1,0.0,,,ENE,17.0,,ENE,0.0,7.0,84.0,58.0,1020.9,1018.0,6.0,7.0,9.7,15.9,No,Yes
111,2010-04-28,Batna,9.7,17.3,1.6,,,NW,30.0,NE,WNW,6.0,17.0,84.0,50.0,1022.0,1019.6,1.0,1.0,12.4,16.9,Yes,No
112,2010-04-29,Batna,10.5,17.7,0.4,,,W,28.0,WSW,WSW,7.0,11.0,79.0,69.0,1021.9,1020.4,5.0,8.0,14.3,17.0,No,No
113,2010-04-30,Oran,5.6,19.1,0.0,,,ESE,13.0,,ESE,0.0,2.0,99.0,53.0,1026.8,1024.4,8.0,,9.4,19.0,No,No
114,2010-05-01,Bejaia,5.9,21.1,0.2,,,N,22.0,,NE,0.0,9.0,84.0,46.0,1027.9,1024.1,,,11.7,20.6,No,No
115,2010-05-02,Constantine,4.8,20.7,0.0,,,SSW,15.0,NE,ESE,7.0,9.0,97.0,47.0,1026.7,1024.3,6.0,,10.0,20.3,No,No
116,2010-05-03,Bejaia,6.8,23.0,0.0,,,NNW,30.0,,NE,0.0,11.0,83.0,39.0,1027.1,1021.9,,,12.7,22.7,No,No
117,2010-05-04,Sidi Bel Abbes,8.0,25.3,0.2,,,WNW,61.0,WSW,N,7.0,26.0,92.0,29.0,1017.8,1011.2,8.0,4.0,11.9,24.8,No,Yes
118,2010-05-05,Sidi Bel Abbes,8.9,14.5,3.0,,,W,39.0,NW,W,17.0,22.0,84.0,51.0,1016.1,1015.5,8.0,,9.3,14.5,Yes,No
119,2010-05-06,Constantine,7.1,15.3,0.0,,,W,35.0,NW,W,11.0,9.0,78.0,68.0,1022.3,1021.6,8.0,8.0,10.8,15.3,No,No
120,2010-05-07,Blida,5.7,17.5,0.0,,,W,20.0,S,WNW,2.0,6.0,89.0,56.0,1024.7,1021.7,8.0,6.0,10.2,16.8,No,No
121,2010-05-08,Bejaia,9.6,19.3,0.0,,,SSE,13.0,,,0.0,0.0,84.0,59.0,1023.7,1021.1,6.0,1.0,13.0,18.6,No,No
122,2010-05-09,Oran,5.7,19.5,0.0,,,ENE,17.0,E,SSE,7.0,4.0,99.0,54.0,1023.4,1019.6,8.0,1.0,9.2,18.6,No,No
123,2010-05-10,Skikda,5.0,19.8,0.0,,,ENE,17.0,S,NE,2.0,9.0,99.0,47.0,1020.8,1015.2,7.0,,8.1,19.6,No,No
124,2010-05-11,Skikda,3.0,15.6,0.0,,,WSW,43.0,WNW,WSW,9.0,20.0,77.0,47.0,1012.5,1014.8,,,10.7,13.2,No,No
125,2010-05-12,Annaba,1.3,14.9,0.0,,,W,28.0,ESE,W,7.0,13.0,81.0,48.0,1022.8,1021.5,,,6.0,13.8,No,No
126,2010-05-13,Annaba,1.0,17.1,0.0,,,W,30.0,,W,0.0,20.0,79.0,55.0,1024.1,1019.9,,,6.4,16.9,No,No
127,2010-05-14,Algiers,3.1,17.7,0.2,,,SE,15.0,E,SE,7.0,7.0,99.0,46.0,1021.2,1017.1,8.0,,5.7,17.1,No,No
128,2010-05-15,Oran,2.2,18.4,0.0,,,SE,13.0,,ENE,0.0,2.0,83.0,44.0,1019.9,1017.3,,,8.1,18.1,No,No
129,2010-05-16,Algiers,1.7,17.5,0.0,,,ESE,13.0,,SW,0.0,4.0,84.0,51.0,1021.6,1018.9,,,8.2,16.3,No,No
130,2010-05-17,Sidi Bel Abbes,4.5,17.0,0.0,,,ESE,48.0,S,SSE,7.0,7.0,92.0,50.0,1021.1,1017.9,,,9.2,16.7,No,No
131,2010-05-18,Annaba,1.6,19.7,0.0,,,WNW,17.0,NNW,WNW,7.0,9.0,90.0,38.0,1020.9,1018.7,,,7.4,19.4,No,No
132,2010-05-19,Skikda,1.4,18.5,0.0,,,W,28.0,,NW,0.0,7.0,86.0,39.0,1024.1,1021.3,,,6.6,18.4,No,No
133,2010-05-20,Oran,2.1,16.5,0.0,,,N,13.0,,WSW,0.0,4.0,88.0,44.0,1023.8,1020.4,,,6.8,16.1,No,No
134,2010-05-21,Bejaia,1.7,17.9,0.0,,,SSE,15.0,,SSE,0.0,9.0,92.0,42.0,1022.3,1019.3,1.0,,7.6,17.5,No,No
135,2010-05-22,Annaba,1.1,17.1,0.0,,,ESE,22.0,,SSE,0.0,7.0,76.0,45.0,1023.3,1020.5,,3.0,6.3,16.1,No,No
136,2010-05-23,Setif,0.9,18.1,0.0,,,NNW,24.0,ESE,NNW,4.0,13.0,76.0,35.0,1023.5,1019.2,,,6.6,17.8,No,No
137,2010-05-24,Algiers,5.2,16.3,0.0,,,ESE,20.0,ESE,ESE,9.0,9.0,74.0,73.0,1017.6,1013.3,,2.0,10.3,15.0,No,Yes
138,2010-05-25,Batna,10.2,14.9,10.4,,,E,26.0,E,SSE,7.0,7.0,88.0,99.0,1008.7,1005.0,7.0,7.0,13.5,12.8,Yes,Yes
139,2010-05-26,Batna,8.4,19.0,13.4,,,SSE,30.0,SE,SSE,11.0,6.0,71.0,50.0,1008.9,1010.1,3.0,,14.9,18.9,Yes,No
140,2010-05-27,Setif,5.7,16.6,0.2,,,SSE,11.0,,SSE,0.0,9.0,92.0,59.0,1019.6,1018.0,8.0,8.0,9.7,16.5,No,No
141,2010-05-28,Skikda,6.4,17.0,0.0,,,ENE,22.0,,NE,0.0,13.0,96.0,63.0,1019.4,1014.3,8.0,6.0,9.4,17.0,No,Yes
142,2010-05-29,Setif,9.4,15.0,28.0,,,N,26.0,E,SE,9.0,11.0,99.0,89.0,1005.7,1002.8,8.0,8.0,12.1,14.0,Yes,Yes
143,2010-05-30,Skikda,8.8,20.2,5.8,,,SE,46.0,SSW,SSE,11.0,31.0,99.0,47.0,1004.7,1004.8,8.0,1.0,10.8,19.6,Yes,No
144,2010-05-31,Annaba,10.7,19.1,0.0,,,SSE,48.0,SSE,SE,19.0,15.0,54.0,48.0,1015.2,1014.8,,,15.0,18.4,No,No
145,2010-06-01,Skikda,4.2,16.6,0.0,,,SE,13.0,,SE,0.0,7.0,89.0,58.0,1020.7,1018.5,,,8.3,16.1,No,No
146,2010-06-02,Setif,4.3,17.7,0.0,,,W,13.0,,SSW,0.0,4.0,93.0,60.0,1022.3,1020.6,,,8.6,16.8,No,No
147,2010-06-03,Constantine,3.4,17.7,0.0,,,SSE,17.0,,SE,0.0,7.0,79.0,50.0,1026.5,1023.5,,,8.9,17.2,No,No
148,2010-06-04,Constantine,3.1,18.4,0.0,,,W,19.0,,W,0.0,11.0,82.0,53.0,1023.6,1019.4,,,8.7,18.1,No,No
149,2010-06-05,Setif,1.7,10.2,0.0,,,SW,17.0,ESE,WSW,7.0,11.0,99.0,84.0,1018.7,1015.8,8.0,,5.1,8.9,No,No
150,2010-06-06,Annaba,5.0,15.8,0.0,,,SW,13.0,SE,ENE,7.0,7.0,97.0,61.0,1020.6,1020.4,8.0,,6.2,14.6,No,No
151,2010-06-07,Oran,0.4,14.0,0.0,,,S,17.0,,S,0.0,9.0,80.0,50.0,1026.7,1024.3,,2.0,4.2,13.3,No,No
152,2010-06-08,Constantine,3.1,12.2,0.0,,,WNW,19.0,SSE,WNW,2.0,11.0,89.0,49.0,1023.7,1019.5,7.0,7.0,5.3,11.6,No,No
153,2010-06-09,Algiers,5.3,8.4,0.0,,,WNW,37.0,NNW,WNW,11.0,13.0,81.0,92.0,1012.9,1011.1,7.0,8.0,7.8,7.9,No,Yes
154,2010-06-10,Annaba,4.9,12.9,2.4,,,W,44.0,WSW,WSW,15.0,19.0,85.0,57.0,1021.2,1021.1,,6.0,7.2,12.5,Yes,No
155,2010-06-11,Bejaia,7.2,13.2,0.0,,,W,28.0,WSW,WSW,6.0,13.0,82.0,66.0,1023.0,1019.7,7.0,7.0,9.2,12.8,No,No
156,2010-06-12,Bejaia,0.0,13.3,0.0,,,W,22.0,,S,0.0,4.0,95.0,51.0,1025.4,1024.3,5.0,,3.3,12.3,No,No
157,2010-06-13,Sidi Bel Abbes,-1.0,13.1,0.0,,,ESE,11.0,NNW,SSE,6.0,9.0,83.0,47.0,1031.8,1030.7,,,4.1,12.0,No,No
158,2010-06-14,Oran,-2.0,13.2,0.0,,,ESE,17.0,,E,0.0,6.0,85.0,50.0,1035.2,1032.0,,6.0,2.2,12.6,No,No
159,2010-06-15,Blida,-0.3,12.8,0.0,,,SSE,11.0,SE,ESE,2.0,9.0,92.0,65.0,1032.3,1028.3,6.0,1.0,3.4,12.4,No,No
160,2010-06-16,Oran,1.5,15.5,0.0,,,NNW,52.0,E,E,4.0,9.0,91.0,73.0,1027.4,1022.1,1.0,7.0,7.4,13.5,No,Yes
161,2010-06-17,Bejaia,7.4,16.2,11.6,,,W,94.0,NNW,WNW,30.0,30.0,82.0,65.0,1010.0,1010.4,8.0,,13.0,11.0,Yes,Yes
162,2010-06-18,Oran,3.0,12.2,2.2,,,W,24.0,NW,W,7.0,13.0,88.0,70.0,1019.6,1018.0,7.0,2.0,6.9,10.9,Yes,Yes
